"sample","site","CaO","SiO2","Al2O3"
"BDX15679","Torre Cremada",16.24,53.1,19.99
"BDX15680","Torre Cremada",15.99,51.92,21.02
"BDX16441","El Palao",21.77,46.47,13.7
"BDX16442","El Palao",9.46,54.69,19.98
"BDX16443","El Palao",28.79,42.71,13.85
"BDX16444","El Palao",7.64,60.41,18.47
"BDX16445","El Palao",14.49,50.96,19.61
"BDX16446","El Palao",22.46,46.63,13.74
"BDX16447","El Palao",14.42,54.69,16.83
"BDX16448","El Palao",17.86,55.71,17.92
"BDX16449","El Palao",14.95,52.08,19.67
"BDX16450","El Palao",10.27,55.26,24.37
"BDX16451","El Palao",12.3,53.23,19.84
"BDX16452","El Palao",15.18,52.47,18.5
"BDX16453","El Palao",16.93,50.69,19.09
"BDX16454","El Palao",10.92,59.68,17.82
"20.3799885460451","20.3799885460451",20.3799885460451,20.3799885460451,20.3799885460451
"20.5966628898526","20.5966628898526",20.5966628898526,20.5966628898526,20.5966628898526
"19.6099983001868","19.6099983001868",19.6099983001868,19.6099983001868,19.6099983001868
"20.6833198960804","20.6833198960804",20.6833198960804,20.6833198960804,20.6833198960804
"20.5033165429284","20.5033165429284",20.5033165429284,20.5033165429284,20.5033165429284
"21.1399984232102","21.1399984232102",21.1399984232102,21.1399984232102,21.1399984232102
"20.2099983506514","20.2099983506514",20.2099983506514,20.2099983506514,20.2099983506514
"20.4333295275075","20.4333295275075",20.4333295275075,20.4333295275075,20.4333295275075
"23.0566575091773","23.0566575091773",23.0566575091773,23.0566575091773,23.0566575091773
