"theta","BDX14914","BDX14917","BDX14918","BDX14920","BDX14921","BDX14922","BDX14924","BDX14925","BDX14926","BDX15030","BDX15031","BDX15032","BDX15033","BDX15034","BDX15035","BDX15036","BDX15037","BDX15038","BDX15040","BDX15041","BDX15042","BDX15043","BDX15044","BDX15045","BDX15053","BDX15054","BDX15445","BDX15446","BDX15448","BDX15449","BDX15450","BDX15451","BDX15452","BDX15453","BDX15457","BDX15461","BDX15464","BDX15465","BDX15466","BDX15468","BDX15473","BDX15640","BDX15641","BDX15643","BDX15644","BDX15647","BDX15649","BDX15651","BDX15652","BDX15653","BDX15654","BDX15659","BDX15660","BDX15661","BDX15662","BDX15663","BDX15664","BDX15665","BDX15666","BDX15668","BDX15669","BDX15671","BDX15673","BDX15674","BDX15675","BDX15676","BDX15679","BDX15680","BDX16441","BDX16443","BDX16444","BDX16445","BDX16446","BDX16447","BDX16449","BDX16451","BDX16452","BDX16453","BDX17428","BDX17429","BDX17430","BDX17431","BDX17432","BDX17433","BDX17434","BDX17435","BDX22203"
4,44.2931730663004,3.5175914342999,67.3526578774763,7.23609881243283,56.5619533947502,132.022915502686,145.43785254511,24.541570788102,93.129396809898,63.6417774719248,65.4299762621085,85.696968765129,10.1999598813873,50.366498147001,63.1461512785136,71.7315097232149,80.5390591035339,79.7644149311818,125.068326606342,63.349394966579,41.8743110886899,35.9658563696667,56.9925538921889,82.3768199757542,45.2669918134143,229.099509091324,81.2008234335426,30.5657842517721,121.645174467787,89.6029945199807,0,24.2528271058018,104.640123318452,0,27.9988859065761,60.1834561498526,0,72.3534282892961,107.836487668295,100.621078021119,117.434716735273,26.3260874703301,135.058354807135,96.8784289038467,39.0401183216745,26.8674378146779,75.871615673319,43.6213990164551,127.970662526212,29.0815950645792,22.8816257839662,82.9677237482119,0,116.458645840486,147.741177819038,97.5357194328408,10.4471978637221,17.8355800243189,163.185074013867,40.9163637832398,73.9309981856586,0,17.4299348364784,0,8.55695840046246,90.8526555812168,108.903547624685,56.4778323738956,33.9430029809009,93.3134380716283,17.4952991599021,1.24036784635882,89.7204258909442,64.6619726256695,72.7978795062554,21.5083598321544,18.1118658828018,80.1351842389313,108.708082311196,104.506672125197,109.341273792674,96.5253608020957,111.966407413678,192.665914238847,214.066199115903,176.369107118992,0
4.02,38.1952353626621,0,23.9070657568318,11.3943648717013,60.4189137667108,76.2492117464535,137.447657977667,20.9106929007812,40.1584783697799,110.667386682022,132.239908469821,59.0701639979925,13.4081509876869,71.120932787815,0,80.3625468208575,125.518056428314,94.2416239791,109.013159151182,64.9430939356989,0,74.5463770403003,56.6284041292365,63.4814738227487,72.9195646200569,183.618729375425,69.7452707772281,32.6789927743666,54.3793302436807,123.165809103868,37.283527470021,49.9999567957093,93.7380186473229,10.1838809201599,36.4348628894913,81.27253022888,95.1649139581914,43.7595791179592,96.6293671783551,0,104.440963565716,0,144.814613943805,133.959994260777,1.58575982045841,0,27.8132769463737,0,92.6577809583878,112.467492569993,17.8568420050733,95.1969644852506,0,94.7120918150013,109.508175289768,105.708853943479,54.44814712064,46.7781248940419,153.889813758353,99.7397370983872,129.63267997109,20.7715060347837,20.3986774618634,0,19.1386796529041,104.563118251524,15.8690664701107,6.0201881181747,39.8393136541299,116.544532686194,0,0,75.1192570496114,111.087197782859,93.8400390402376,2.00881813776323,0,102.510880863998,52.2429575536044,169.712169437065,135.409565749107,143.304338080025,86.1785097286938,123.055187655695,174.388591494177,89.1504769556022,68.9685677028119
4.04,0,0,60.029281132478,57.5406005270761,13.8109166140584,0,43.4410480485003,78.7864651040363,0,0,87.4036847666757,109.121402483492,124.137324796611,108.44775593379,45.4300249598618,154.856853744717,119.068785822025,113.595696216431,161.739662893826,68.8055099063677,0,63.5343061370804,63.5862156650091,109.85311972303,142.869897991157,138.011504188466,70.4428778278925,146.797461622213,0,95.3629464265068,60.7558825806645,61.4538833330225,77.5198953106001,39.5526548520593,23.8231157614737,59.349300968237,139.219015798949,15.7928923903328,87.2035193665852,0,141.722723448778,0,89.583496487041,127.557874488388,1.33507440470021,0,7.61194459843318,19.1272684099868,0,116.95910322753,45.252487218645,98.6845435243413,58.3454686548766,66.0118279040562,68.3574387998178,79.2550800743411,97.6770189842273,62.4094707825225,107.783606807654,100.053255429074,171.807926421359,50.945141537597,65.7726501362395,31.934486326114,86.0779489415581,134.083606678699,0,0,65.5034783948895,92.2557534720872,4.24394120184843,24.3146554125651,79.2915261563348,132.138528659911,120.597529233421,82.2051824599766,49.2244744826803,96.0614634862495,60.2337722845787,149.497950739011,178.268718141819,173.787730317932,107.924034101217,91.6831350972952,112.854698058965,67.427797410116,122.573483821741
4.06,0,0,62.2611324965656,60.2994740766735,0,48.6236042122619,0,89.4106174781318,54.4383795081776,0,12.7343515263965,177.775187307319,121.367043514538,71.7439229645588,127.766451240997,124.442149849934,99.0247126215345,109.354812947757,147.997564032887,60.8267671882168,9.2404452994524,36.0219016017254,76.1556400315585,157.983913070455,174.309349318273,77.9690244492995,96.4695261508605,165.79149220796,61.7079014693772,25.3109305224025,42.2145685051937,105.322096090233,74.294103242607,44.6402122875079,0,4.90954966982281,48.242971635399,20.808682150845,65.3976562913103,126.402170733643,134.775877745758,0,113.111814876171,57.7850355218579,32.0988346489667,44.8750633679756,44.2664209882223,24.5523013980182,0,94.078540750842,99.9725094272244,67.2607028002258,117.808388170826,59.6364370958481,92.8358743509416,43.8856858649342,55.3965401497508,69.2227746393182,97.2789503251415,117.899313279836,145.673586548144,48.5860955046192,74.5363904899596,87.4121461252771,26.1361069316463,151.770530685759,53.3434859452136,24.7320125315255,110.870100551599,32.6158869437331,24.6487031290371,91.1902573510706,76.9027219007321,79.8270137382369,147.126343918735,89.8655351440066,89.9573326684367,72.9893172590109,102.70888479595,126.322398099821,201.750347089988,148.339711876461,102.343043704897,74.6242239266285,62.5853445875646,97.9017074109424,123.534854025018
4.08,87.6531746922337,5.84063539123599,30.4507811691128,41.7489862290258,14.772144056833,159.654123538106,16.261965340138,76.8919253830172,241.577294576982,0,0,129.896836599934,48.1013526283405,4.65911127540312,162.401947532353,13.6415461145552,65.1914456704608,58.7300249892451,92.7994470241811,85.7166956377878,94.3346936268208,62.0141541529665,99.490993968433,152.169633195082,167.379931404748,38.2740971495241,140.297436142248,83.5095128463199,187.251141842258,67.0420611276768,0,144.48216560615,72.1768061539324,87.3223015953699,0,0,19.2814378192297,0,0,88.6896345144396,104.283232305088,0,158.084196549498,0,57.0216542564303,84.7893516609174,83.3602967924598,26.6391296284482,0,77.7863287578866,106.106461380065,42.9838075134521,122.081820644646,44.7507121345297,95.1123864432357,38.8459034808257,39.2377656281524,91.5430392587123,98.6463458806793,144.189512687898,73.1324205357505,106.590669645757,54.0890067212049,67.0604675761169,0,128.286432332625,121.891155185254,88.4300943149137,106.246855904964,43.2726381626926,54.2477733535152,121.525846703579,31.2565953955145,123.788376218817,154.13932646886,16.6082748720037,43.6483524345022,90.0680596379934,101.34019998036,117.039223657621,151.062216071859,77.0095024139919,83.5779191040783,63.0926849926018,46.7932115903031,84.7128761170225,140.529214039081
4.1,125.391642980592,56.8334651718578,37.8309290895595,78.0541704134303,87.6214054633074,121.386453440115,25.5754295517963,139.443899781247,243.708073188085,26.7498224183037,36.6116344597194,98.5008053891488,101.275889385217,19.4140210310343,185.360579693064,0,2.33735909051393,12.9163015960839,114.898535009965,124.128047953391,124.367819705487,100.651027322652,123.248846628059,80.6445676872972,171.320012046559,72.8327181545828,176.369543026967,41.110648758744,179.659540736304,172.797824420573,0,100.209956551629,46.371863627789,147.386726976623,75.1009437356915,0,61.7173984061146,0,0,0,129.431632303624,23.3796328570952,65.9694984972903,0,61.4936179010492,92.9847013655526,100.612946810257,92.530170177497,29.3809212705119,74.8495666904091,66.9526095282026,46.3216537949738,66.2331914078877,8.84771209418886,56.2588436735223,69.9948708529737,66.5280489954275,148.016113737833,39.4812039874942,117.537653761263,25.5009832338601,170.367524807425,68.0053817918861,72.398064783305,0,57.334870214022,137.093506464586,126.815390741331,68.9358512151148,101.316453055564,74.2217044739273,111.495546125387,3.54195509116198,206.941143396843,142.391170565817,0,0,197.713330175966,88.673622653645,88.8173231167584,77.4114743706887,56.3032971385956,116.433164380273,68.1324056325993,62.5828500747884,36.739437064818,127.972435607195
4.12,131.956204217007,120.2382008776,30.8715479736165,80.3504690769842,87.7344259743186,13.3632086308735,45.658714731926,173.243334583265,93.6333302912844,50.8568337795277,66.1034970834298,165.080982885682,162.991514141349,49.3381908412521,199.996877751089,26.3703840442886,0,13.8184434204413,122.359717603806,116.548549296167,92.6006463560207,105.779630964242,105.307205132423,51.3251458558934,140.659182860745,121.360691354046,163.845498613786,38.3158449552411,70.3257911101464,166.825907203609,25.9856395070792,42.452186377066,19.8813197989994,148.553939362777,100.937468077858,88.3613910647109,63.7038864949363,0,16.4258291369206,0,93.3477324065716,62.5863055794844,0,0,52.0814651434957,104.201411727897,97.3618994859207,127.895725953905,72.860793950309,85.4589425782387,46.9148478585485,69.6671046986994,26.137387690248,0,21.6790803843342,109.820977721798,77.5235088390727,164.753907860224,0,88.3840920418052,41.469754148231,110.599210492317,101.560646013164,99.1037340800813,34.8112635502148,38.0829009037943,122.552242073602,111.522840567429,71.8002031878323,107.047934222865,57.4964811671025,103.408777492297,89.7473361759803,143.422753106825,127.143847524623,41.3862547411009,0,258.537266315902,81.4650280172636,66.4395505034154,75.7423040181893,106.261689354002,148.943168655853,111.438842391486,95.5189724470965,0,65.9383569623369
4.14,146.092540237241,153.618596497305,0,16.4916136537213,59.4650707652709,0,94.0744916047333,100.955242691669,0,51.8337114744627,23.6075120034657,161.613132442408,129.040714194729,33.2744520191336,174.452327793813,104.420618999207,84.3987267447174,41.3592307904892,55.6538283669215,70.9150587948425,77.0336086566276,93.5224475142568,58.7796279892355,106.119848721213,65.1234087332359,137.166034874394,113.103118294341,54.4405895662185,0,72.6706174215506,68.145397004504,43.8622129408122,23.5159534644054,90.1069424684119,102.016614875885,125.610148424015,108.840917410682,84.3705132693813,115.684649139224,109.024184437576,0,77.6121144176168,48.0865587171011,60.1454144865911,43.1275269392881,118.04101398416,54.2711813597998,76.1502233114743,43.8693978099855,90.6440719579659,86.1529073275624,77.2134645740371,53.1168255972652,0,34.795260222365,96.4780000372775,58.9504761885737,100.351999341383,0,92.6706696339706,104.10521680179,37.2407477200168,113.717805016004,104.999563972813,0,114.405849057095,116.419223545297,100.931356559658,109.627058727848,102.683920194802,10.2557815573327,102.609837250726,189.959029452993,65.0765312513022,114.173463237797,143.865904255677,85.4971832204519,184.47526490309,25.7000297431205,74.5421532244145,117.837697508176,82.5370444481759,139.313034184393,177.79211048761,144.718151863258,18.8469478067591,69.4250213236101
4.16,156.273718831992,144.870924156543,0.713014693648802,55.3131482753633,46.9343584225808,83.5467813938139,126.418784365031,25.6227122688524,10.0003480729338,62.7130278207642,40.7193606939109,95.4925885881494,117.345351473296,32.0481778730118,38.2014504389554,135.223073942781,151.451481333273,69.9355253250669,39.5888221159366,36.136037855731,88.673656323208,101.942580939824,36.3130832800434,96.9479660865927,53.6226408215771,169.39617668458,134.52455331186,114.997721310776,0,0,66.1274966667415,86.6461552119035,70.7729075103853,20.6075843873132,116.983029024328,34.7717837157434,223.501881164238,131.354865307204,126.714766698708,140.484599314261,0,62.4983116190861,45.6058752326444,78.4260656694896,44.3214603456399,122.506340741033,0,53.5039447228382,36.689983531518,42.4320778190531,153.513423791383,62.9784960796314,104.18595227329,83.2515750715738,89.1418192096771,30.0207750904174,27.1559994284153,32.8739357854247,0,73.1523033961503,109.405371253832,36.939702041931,67.2106772934167,48.7837798552446,27.8093810344999,162.638385243056,138.223551502174,123.521859145443,155.139357571319,126.180353864253,0,103.640172452254,207.707488885222,90.8672634357727,111.377657326696,80.427892159536,89.7190334743791,106.726465664334,0,89.5009717800713,152.937402124568,3.58479314313536,126.497245827051,164.64398170005,163.73963440414,89.7410345660919,120.363489620341
4.18,137.183559684639,98.8664992544836,77.7514806618201,134.256136594602,68.0847457505533,199.20148807238,97.1225430977047,18.5117583925439,152.092973113733,82.7550074411301,122.074423665539,107.759622483551,147.592401745687,81.392506497521,0,120.112576286463,138.617769619227,82.1657182286181,57.4570936850232,89.617088289091,81.3274822074,160.282317256058,32.9595425870048,43.4270053094988,95.4415315416099,195.859681045053,200.674565936453,204.494623423956,70.8711989335807,23.8272384067841,61.0998229806064,99.5287314474681,111.947044123365,26.695854730895,106.630901852914,46.6952993106897,204.220257211163,116.591237272576,108.548367539952,152.050699087038,7.21766401882815,33.4639290069817,0,52.1753067414702,50.8842825801967,107.714438623511,0,76.3123466011029,81.5521475262922,0,103.411299660962,88.5786201311166,130.033657060536,120.05636469194,88.5589974013365,40.2132226183185,21.7459772208476,6.69253581880821,13.1490670234798,44.403910994637,52.0560300706184,12.9136785335268,11.562286077492,0,118.039566779238,133.383460844788,164.370066680442,102.196390641764,185.923395237777,120.231568852613,0,103.948364445801,186.004335176087,125.846443076394,135.089077634996,0,12.9524819395265,99.0568425131969,24.9902363836782,87.0357625165398,144.721465517398,0,110.945760008102,72.4385693413369,84.2489540116248,127.804225363539,93.6209841747705
